location,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction
unit,°C,mm,%,km/h,°
level,2 m elevation corrected,sfc,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20211016T2200,11.540529,0.0,69.0,3.8268526,221.18593
20211016T2300,10.640529,0.0,71.0,4.6102495,231.3402
20211017T0000,9.600529,0.0,74.0,3.8268526,228.81409
20211017T0100,8.960529,0.0,76.0,4.8965297,216.02737
20211017T0200,8.840529,0.0,77.0,4.198285,210.96376
20211017T0300,8.520529,0.0,80.0,3.9763298,185.19443
20211017T0400,8.270529,0.0,81.0,3.8773184,158.1986
20211017T0500,8.180529,0.0,81.0,3.7064266,119.054596
20211017T0600,7.4505286,0.0,85.0,4.5536795,108.434944
20211017T0700,6.7505283,0.0,90.0,4.452954,104.03624
20211017T0800,6.8905287,0.0,91.0,4.896529,107.10272
20211017T0900,8.760529,0.0,83.0,5.5887027,104.93142
20211017T1000,11.0505295,0.0,75.0,5.0528407,94.08562
20211017T1100,13.260529,0.0,68.0,3.8773184,68.19859
20211017T1200,14.630529,0.0,62.0,1.8,360.0
20211017T1300,15.110529,0.0,55.0,2.5959969,33.690063
20211017T1400,16.020529,0.0,52.0,2.8116899,309.80557
20211017T1500,16.600529,0.0,50.0,3.4152596,288.43497
20211017T1600,16.860529,0.0,48.0,2.7416782,293.1986
20211017T1700,16.500528,0.0,51.0,1.835647,11.309921
20211017T1800,15.880529,0.0,50.0,3.2599385,83.65981
20211017T1900,14.940529,0.0,55.0,4.6938257,122.47119
20211017T2000,13.770529,0.0,61.0,4.8965297,126.027374
20211017T2100,12.660529,0.0,68.0,4.1046314,127.874985
20211017T2200,11.970529,0.0,73.0,3.8268526,138.81407
20211017T2300,11.450529,0.0,76.0,4.1046314,142.12502
